plate_width_mm,upper_plate_height_mm,lower_plate_slant_mm,thickness_mm,mass_kg,mode1_hz,mode2_hz,mode3_hz,safe
40,100,100,14,0.001444,2198.39,3416.42,3705.64,1
50,50,60,6,0.001444,2198.39,3416.42,3705.64,1
50,50,60,8,0.001444,2198.39,3416.42,3705.64,1
50,50,60,10,0.001444,2198.39,3416.42,3705.64,1
50,50,60,12,0.001444,2198.39,3416.42,3705.64,1
50,50,60,14,0.00072,5659.21,6854.77,8800.22,1
50,50,70,6,0.000362,2128.42,3202.42,6508.3,1
50,50,70,8,0.000478,2556.78,3540.92,6599.02,1
50,50,70,10,0.000594,3205.72,4308.02,6668.81,1
50,50,70,12,0.000709,3531.27,4678.6,6715.16,1
50,50,70,14,0.000826,4007.1,5054.64,6805.99,1
50,50,80,6,0.000414,1586.16,2481.46,5180.57,1
50,50,80,8,0.000547,1932.64,2816.96,5265.22,1
50,50,80,10,0.000679,2324.48,3264.98,5345.97,1
50,50,80,12,0.000811,2633.4,3624.39,5348.32,1
50,50,80,14,0.000943,2964.74,4002.1,5369.11,1
50,50,90,6,0.000943,2964.74,4002.1,5369.11,1
50,50,90,8,0.000622,1556.26,2330.0,4363.01,1
50,50,90,10,0.000772,1799.62,2670.76,4357.67,1
50,50,90,12,0.000921,2058.27,2958.16,4378.85,1
50,50,90,14,0.00107,2301.07,3207.33,4467.76,1
50,50,100,6,0.00107,2301.07,3207.33,4467.76,1
50,50,100,8,0.000702,1291.77,2011.7,3614.49,1
50,50,100,10,0.000872,1453.05,2251.85,3649.06,1
50,50,100,12,0.00104,1663.04,2522.65,3658.85,1
50,50,100,14,0.001209,1822.91,2693.87,3712.73,1
50,62,60,6,0.001209,1822.91,2693.87,3712.73,1
50,62,60,8,0.001209,1822.91,2693.87,3712.73,1
50,62,60,10,0.000578,4384.71,5469.73,8710.3,1
50,62,60,12,0.000691,5121.08,6371.69,8854.11,1
50,62,60,14,0.000803,5698.4,7072.3,8914.5,1
50,62,70,6,0.000803,5698.4,7072.3,8914.5,1
50,62,70,8,0.000803,5698.4,7072.3,8914.5,1
50,62,70,10,0.000657,3455.42,4502.85,6871.26,1
50,62,70,12,0.000786,3687.21,4886.58,6903.48,1
50,62,70,14,0.000913,4074.84,5223.37,6867.22,1
50,62,80,6,0.000913,4074.84,5223.37,6867.22,1
50,62,80,8,0.000913,4074.84,5223.37,6867.22,1
50,62,80,10,0.000913,4074.84,5223.37,6867.22,1
50,62,80,12,0.000889,2799.42,3860.85,5478.43,1
50,62,80,14,0.001033,3070.51,4160.93,5538.43,1
50,62,90,6,0.001033,3070.51,4160.93,5538.43,1
50,62,90,8,0.001033,3070.51,4160.93,5538.43,1
50,62,90,10,0.001033,3070.51,4160.93,5538.43,1
50,62,90,12,0.001001,2172.04,3122.56,4505.05,1
50,62,90,14,0.001163,2390.27,3378.44,4534.23,1
50,62,100,6,0.001163,2390.27,3378.44,4534.23,1
50,62,100,8,0.001163,2390.27,3378.44,4534.23,1
50,62,100,10,0.001163,2390.27,3378.44,4534.23,1
50,62,100,12,0.001163,2390.27,3378.44,4534.23,1
50,62,100,14,0.001303,1927.62,2822.49,3821.56,1
50,75,60,6,0.001303,1927.62,2822.49,3821.56,1
50,75,60,8,0.001303,1927.62,2822.49,3821.56,1
50,75,60,10,0.001303,1927.62,2822.49,3821.56,1
50,75,60,12,0.001303,1927.62,2822.49,3821.56,1
50,75,60,14,0.000891,6686.18,8126.96,9245.04,1
50,75,70,6,0.000429,2348.26,3538.86,6861.85,1
50,75,70,8,0.000571,2895.94,4212.74,6899.47,1
50,75,70,10,0.000714,3696.55,4910.61,7109.01,1
50,75,70,12,0.000857,4190.29,5364.69,7113.2,1
50,75,70,14,0.001,4727.23,5895.05,7206.27,1
50,75,80,6,0.00048,1853.66,3053.41,5480.22,1
50,75,80,8,0.000639,2314.96,3470.2,5569.42,1
50,75,80,10,0.000799,2744.99,3933.72,5605.93,1
50,75,80,12,0.000959,3136.27,4388.1,5711.11,1
50,75,80,14,0.001119,3746.11,4779.87,5770.07,1
50,75,90,6,0.000535,1373.18,2392.23,4486.56,1
50,75,90,8,0.000713,1802.03,2845.82,4478.93,1
50,75,90,10,0.000891,2175.17,3235.01,4640.71,1
50,75,90,12,0.001069,2504.63,3596.75,4654.76,1
50,75,90,14,0.001248,2795.34,3899.51,4676.06,1
50,75,100,6,0.000594,1252.34,2215.5,3809.24,1
50,75,100,8,0.000792,1377.84,2251.78,3776.18,1
50,75,100,10,0.00099,1652.84,2537.52,3827.02,1
50,75,100,12,0.001188,1974.15,3004.58,3832.31,1
50,75,100,14,0.001386,2223.97,3171.93,3871.21,1
50,88,60,6,0.000416,3511.6,4777.31,8768.68,1
50,88,60,8,0.000554,4397.9,5676.32,9045.86,1
50,88,60,10,0.000693,5203.17,6538.07,9415.86,1
50,88,60,12,0.000832,5969.56,7294.97,9397.88,1
50,88,60,14,0.00097,6800.29,8043.45,9466.88,1
50,88,70,6,0.000463,2400.6,3666.69,6762.78,1
50,88,70,8,0.000617,2874.92,4209.84,6908.29,1
50,88,70,10,0.000771,3653.1,4885.48,7076.31,1
50,88,70,12,0.000926,4425.99,5490.24,7150.99,1
50,88,70,14,0.00108,4970.59,6161.87,7258.34,1
50,88,80,6,0.000514,1855.27,3049.72,5491.1,1
50,88,80,8,0.000685,2306.08,3487.43,5564.29,1
50,88,80,10,0.000856,2820.27,4079.15,5733.33,1
50,88,80,12,0.001028,3176.5,4422.6,5711.59,1
50,88,80,14,0.001199,3720.7,4782.72,5740.18,1
50,88,90,6,0.000569,1446.69,2527.12,4473.45,1
50,88,90,8,0.000758,1805.33,2840.73,4449.3,1
50,88,90,10,0.000948,2050.62,3153.88,4573.07,1
50,88,90,12,0.001138,2506.5,3638.33,4673.21,1
50,88,90,14,0.001327,2762.47,3910.86,4696.4,1
50,88,100,6,0.000628,1221.15,2191.44,3771.32,1
50,88,100,8,0.000837,1488.39,2372.44,3780.25,1
50,88,100,10,0.001047,1676.36,2550.71,3864.57,1
50,88,100,12,0.001256,2078.3,3057.51,3968.91,1
50,88,100,14,0.001465,2263.2,3272.86,3925.56,1
50,100,60,6,0.000447,3533.38,4949.3,8824.35,1
50,100,60,8,0.000597,4185.62,5565.65,8957.42,1
50,100,60,10,0.000746,5281.99,6759.85,9205.12,1
50,100,60,12,0.000895,6009.28,7320.63,9323.51,1
50,100,60,14,0.001044,6918.26,8112.94,9512.71,1
50,100,70,6,0.000494,2449.22,3717.31,6786.07,1
50,100,70,8,0.000659,2811.05,4229.4,7025.36,1
50,100,70,10,0.000824,3654.64,4968.65,7072.96,1
